ST_NO,TM_X97,TM_Y97,active
9200221,169424.217,2607200.343,1
7020111,192049.113,2661159.144,1
9130121,172024.615,2631889.287,1
9180341,168314.218,2616814.305,1
9180221,170329.212,2612298.323,1
7080121,203554.071,2658051.158,1
7020121,192049.113,2661159.144,1
9020111,200229.093,2617202.313,1
9010142,200160.092,2624336.285,1
7220211,194829.107,2643394.211,1
7200111,188451.976,2648234.647,1
7060141,190949.118,2656044.163,1
7240222,177626.753,2639771.446,1
7050121,200458.331,2674159.127,1
9070131,206080.07,2620298.302,1
7200221,186552.901,2641198.526,1
7260311,197808.098,2637562.234,1
9100121,209029.458,2629304.464,1
9180441,175734.189,2616664.308,1
9110211,191683.122,2632530.252,1
9080211,188849.138,2614664.32,1
9140111,173394.575,2622437.15,1
9040231,191998.186,2627561.416,1
7140111,194881.104,2655894.164,1
9090211,198714.004,2628174.404,1
9100221,213611.039,2629610.268,1
7260611,209761.053,2634600.248,1
7200211,186552.901,2641198.526,1
9080131,194861.866,2616164.192,1
7050111,200458.331,2674159.127,1
9080251,188849.138,2614664.32,1
9120111,179783.168,2632016.25,1
9130211,177529.138,2628653.657,1
9160211,170826.56,2626337.193,1
9090221,198714.004,2628174.404,1
9200121,173045.203,2607945.341,1
9030321,189906.131,2626310.275,1
9180321,168314.218,2616814.305,1
7060131,190949.118,2656044.163,1
7080131,203554.071,2658051.158,1
7260211,199199.083,2639060.575,1
9060111,178746.567,2608559.97,1
9090511,208123.441,2630803.549,1
9010221,207772.119,2624153.4,1
9110311,190294.128,2629866.261,1
9200211,169424.217,2607200.343,1
9170121,184158.672,2611722.054,1
7200131,188451.976,2648234.647,1
9020121,200229.093,2617202.313,1
9160221,170826.56,2626337.193,1
9030121,192114.123,2623483.287,1
9120121,179783.168,2632016.25,1
7230311,180817.848,2646747.575,1
9090411,205180.008,2631107.104,1
9200111,173045.203,2607945.341,1
7240111,183532.827,2636969.441,1
9180451,175734.189,2616664.308,1
7050141,200458.331,2674159.127,1
9070111,206079.067,2620297.33,1
7140121,194881.104,2655894.164,1
9140121,173394.575,2622437.15,1
9130311,171102.202,2629196.258,1
9060211,181323.412,2609310.998,1
7040141,195891.096,2669760.114,1
9070121,206079.067,2620297.33,1
7240121,183532.827,2636969.441,1
7100111,206713.269,2649723.789,1
9160141,166296.223,2624345.275,1
9030111,192114.123,2623483.287,1
7220221,194829.107,2643394.211,1
9170111,184158.672,2611722.054,1
7100211,209361.32,2648961.63,1
9110121,188049.136,2632614.25,1
7110131,196961.117,2649571.724,1
7210111,201874.081,2643074.214,1
7010121,206194.06,2665352.132,1
9130321,171102.202,2629196.258,1
9190132,167125.228,2604454.353,1
9180211,170329.212,2612298.323,1
9080231,188849.138,2614664.32,1
9170311,180927.17,2613135.324,1
7260221,199199.083,2639060.575,1
9050111,183509.158,2620469.296,1
9030311,189077,2626516,1
7210121,201874.081,2643074.214,1
9170221,179615.634,2616754.102,1
9080221,188849.138,2614664.32,1
7240212,177626.753,2639771.446,1
7230321,180817.848,2646747.575,1
7050131,200458.331,2674159.127,1
7010211,200779.08,2662059.143,1
9150131,179546.171,2624783.278,1
7140131,194881.104,2655894.164,1
7040111,195891.096,2669760.114,1
7240241,177626.753,2639771.446,1
7240231,177626.753,2639771.446,1
7060121,190949.118,2656044.163,1
9180111,163427.238,2614692.311,1
9180411,175734.189,2616664.308,1
9110111,188049.136,2632614.25,1
7110121,196961.117,2649571.724,1
9050211,184482.155,2617186.309,1
9100211,213611.039,2629610.268,1
9180331,168314.218,2616814.305,1
9070311,205809.072,2615726.32,1
7010221,200779.08,2662059.143,1
9200311,169048.221,2601909.364,1
7080141,203554.071,2658051.158,1
7170121,208589.056,2642616.217,1
7200121,188453.13,2648235.191,1
7260511,206404.066,2634084.249,1
9180121,163427.238,2614692.311,1
9040111,195718.986,2632516.451,1
9030411,190386.13,2622753.289,1
7230331,180817.848,2646747.575,1
7170221,208633.055,2644081.212,1
9180311,168314.218,2616814.305,1
9050121,183509.158,2620469.296,1
9030211,186177.783,2623977.257,1
9180431,175734.189,2616664.308,1
9190142,167125.228,2604454.353,1
9040121,195718.986,2632516.451,1
9180131,163427.238,2614692.311,1
9130111,172024.615,2631889.287,1
9070221,202850.084,2612172.333,1
7170211,208633.055,2644081.212,1
7120111,207917.059,2638982.231,1
7110111,196961.117,2649571.724,1
9110141,188049.136,2632614.25,1
7100121,206713.269,2649723.789,1
9030221,186179.146,2623978.283,1
9110131,188049.136,2632614.25,1
9180421,175734.189,2616664.308,1
7260231,199199.083,2639060.575,1
9200321,169048.221,2601909.364,1
9040211,191995.896,2627574.35,1
9060121,178746.567,2608559.97,1
9080121,194861.866,2616164.192,1
9150121,179546.171,2624783.278,1
7120121,207917.059,2638982.231,1
9130231,177522.679,2628642.273,1
9010132,200160.092,2624336.285,1
7010111,206194.06,2665352.132,1
9090121,205425,2629497,1
7010131,206194.06,2665352.132,1
7220231,194829.107,2643394.211,1
7100221,210193.048,2648754.194,1
9080241,188849.138,2614664.32,1
9040221,191995.896,2627574.35,1
9090111,205425,2629497,1
9130221,177522.679,2628642.273,1
7140141,194881.104,2655894.164,1
7020131,192049.113,2661159.144,1
7040121,195891.096,2669760.114,1
7040131,195891.096,2669760.114,1
7060111,190949.118,2656044.163,1
9010231,207773.063,2624154.288,1
7170111,207760.3,2642822,1
9070211,202850.084,2612172.333,1
9120131,179783.168,2632016.25,1
9150111,179546.171,2624783.278,1
7100131,206713.269,2649723.789,1
9080111,194863.115,2616165.316,1
