GROUNDWATER,TM_X97,TM_Y97,RAINFALL,tank_size,freq_type,active
7050121,200458.331,2674159.127,../data/C0G890.csv,3,DAILY,1
7050141,200458.331,2674159.127,C0G890,3,DAILY,0
9130311,171102.202,2629196.258,C1K260,3,DAILY,0
9130321,171102.202,2629196.258,C0K250,3,DAILY,0
7230241,184111.144,2655941.161,C0G800,3,DAILY,0
7230321,180817.848,2646747.575,C0G730,3,DAILY,0
7050131,200458.331,2674159.127,C0G890,3,DAILY,0
7230331,180817.848,2646747.575,C0G730,3,DAILY,0
9180131,163427.238,2614692.311,C0K280,3,DAILY,0
9130111,172024.615,2631889.287,C0K250,3,DAILY,0
7230221,184111.144,2655941.161,C0G800,3,DAILY,0
7230211,184111.144,2655941.161,C0G800,3,DAILY,0
7230231,184111.144,2655941.161,C0G800,3,DAILY,0
