Station,Tide_Name,Target_Freq,Frequency,Amplitude,Classification,Red_Flag
9200221,PUMP_1cpd,1.0,1.0,0.0555491225098672,high,
9200221,PUMP_2cpd,2.0,2.0,0.011175123919285532,high,
7020111,PUMP_1cpd,1.0,1.0,0.011829881938129835,high,
9130121,PUMP_1cpd,1.0,1.0,0.0781776109985689,high,
9130121,PUMP_2cpd,2.0,2.0,0.04059230450888658,high,
9180341,PUMP_2cpd,2.0,2.0,0.002259167598557254,moderate,Peak at ~1.0 cpd present but not captured as candidate
9180221,PUMP_1cpd,1.0,1.0,0.006098550100057809,high,
9180221,PUMP_2cpd,2.0,2.0,0.0023033869689274684,moderate,
7080121,PUMP_1cpd,1.0,1.0002488800398208,0.0031202411117625525,high,
7020121,PUMP_1cpd,1.0,1.0,0.03382007695450553,high,
9020111,PUMP_1cpd,1.0,1.0,0.017742890694243642,high,
9020111,PUMP_2cpd,2.0,2.0,0.005125306601548839,high,
9010142,PUMP_1cpd,1.0,1.0004977600796416,0.002548062847808195,moderate,
9010142,PUMP_2cpd,2.0,2.0,0.004613007088105596,high,
7220211,PUMP_1cpd,1.0,1.0002488800398208,0.0023839169709325716,moderate,
7220211,PUMP_2cpd,2.0,2.0,0.0033936883893961613,high,
7200111,PUMP_1cpd,1.0,1.0,0.024636764862470836,high,
7200111,PUMP_2cpd,2.0,2.0,0.00866988348518423,high,
7060141,PUMP_1cpd,1.0,1.0,0.0057633098343359964,high,
7060141,PUMP_2cpd,2.0,2.0,0.0036513496139866206,high,
7240222,PUMP_1cpd,1.0,1.0,0.525229968572062,high,
7240222,PUMP_2cpd,2.0,2.0,0.15490975608407748,high,
7050121,PUMP_1cpd,1.0,1.0,0.08516561008932025,high,
9070131,PUMP_1cpd,1.0,1.0,0.004005587755568154,high,
9070131,PUMP_2cpd,2.0,2.0,0.004794384718088808,high,
9010111,PUMP_1cpd,1.0,1.0,0.20210149501767444,high,
9010111,PUMP_2cpd,2.0,2.0,0.03889825962566195,high,
7200221,PUMP_1cpd,1.0,1.0,0.00702275533036433,high,
7200221,PUMP_2cpd,2.0,2.0,0.0018084980453292908,moderate,
7260311,PUMP_1cpd,1.0,1.0,0.006470081467980767,high,
7260311,PUMP_2cpd,2.0,2.0,0.0022368630738950827,moderate,
9100121,PUMP_1cpd,1.0,1.0,0.003934645163068525,high,
9100121,PUMP_2cpd,2.0,2.0,0.004968853347045179,high,
9180441,PUMP_1cpd,1.0,1.0,0.0037944659633792517,high,
9180441,PUMP_2cpd,2.0,2.0,0.0025609089416090036,moderate,
9110211,PUMP_1cpd,1.0,1.0,0.05798008083263828,high,
9110211,PUMP_2cpd,2.0,2.0,0.014042857159404488,high,
9080211,PUMP_1cpd,1.0,1.0,0.06344182036380955,high,
9080211,PUMP_2cpd,2.0,2.0,0.013929244168701812,high,
9140111,PUMP_1cpd,1.0,1.0,0.054595656994296284,high,
9140111,PUMP_2cpd,2.0,2.0,0.012038507519241896,high,
9040231,PUMP_1cpd,1.0,1.0,0.003263382567864926,high,
9040231,PUMP_2cpd,2.0,2.0,0.002467380751977486,moderate,
7140111,PUMP_1cpd,1.0,1.0,0.10563444363494484,high,
9090211,PUMP_1cpd,1.0,1.0,0.014177456689837597,high,
9090211,PUMP_2cpd,2.0,2.0,0.014520762957221649,high,
9100221,PUMP_1cpd,1.0,1.0,0.018151303118889524,high,
9100221,PUMP_2cpd,2.0,2.0,0.004707119335841033,high,
7260611,PUMP_1cpd,1.0,0.9990044798407167,0.004591387255463843,high,
7260611,PUMP_2cpd,2.0,2.0,0.004570936455437728,high,
